server_id,user_id
BBG000K82ZT8,NASDAQ:CHKP
BBG000K712R6,NASDAQ:OTEX
BBG000K4ND22,NYSE:CVX
BBG000K1J931,NASDAQ:CSIQ
BBG000JYP7L8,NYSE:CE
BBG000JWD753,NYSE:LVS
BBG000JSTBB9,NYSE:CPE
BBG000JKCWS0,NYSE:CLB
BBG000JK9DK4,NASDAQ:PLCE
BBG000JK57G6,NYSE:NAT
BBG000JH6683,NASDAQ:IONS
BBG000J6XT05,NASDAQ:EXC
BBG000J5Q6L2,NYSE:GNW
BBG000J5J943,NASDAQ:CLNE
BBG000J4L211,NYSE:BKD
BBG000J1QLT0,NYSE:STZ
BBG000J0D904,NYSE:BIG
BBG000J094P3,NYSE:RNG
BBG000HXNN20,NASDAQ:ACGL
BBG000HXJB21,NASDAQ:IRBT
BBG000HS77T5,NYSE:VZ
BBG000HLJ7M4,NASDAQ:IDCC
BBG000HGYNZ9,NASDAQ:STLD
BBG000HGTH33,NYSE:CARS
BBG000HG21Y3,NYSE:NUS
BBG000H9G7X2,NYSE:ANF
BBG000H8TVT2,NYSE:TGT
BBG000H8LGK2,NYSE:MD
BBG000H6HNW3,NYSE:TWTR
BBG000H3YXF8,NASDAQ:CTAS
BBG000H3FZM6,NASDAQ:SRCL
BBG000H1F895,NASDAQ:MLNX
BBG000H0QBS7,NASDAQ:LBTYA
BBG000H01H92,NASDAQ:AMCX
BBG000GZYVY1,NASDAQ:JACK
BBG000GZQ728,NYSE:XOM
BBG000GXZ4W7,NASDAQ:ANSS
BBG000GX1891,NASDAQ:GERN
BBG000GTYWL7,NYSE:QGEN
BBG000GQPB11,NASDAQ:MELI
BBG000GQGJT4,NYSE:THS
BBG000GQ1G25,NYSE:TUP
BBG000GPXKX9,NYSE:FLT
BBG000GJS7C1,NASDAQ:NBIX
BBG000GHZSZ6,NYSE:FHN
BBG000G9CGL0,NASDAQ:JAZZ
BBG000G8N9C6,NYSE:JWN
BBG000G3QLY3,NYSE:AMP
BBG000G2GJT7,NASDAQ:HRTX
BBG000FY4S11,NYSE:C
BBG000FXW512,NYSE:PKI
BBG000FVXD63,NYSE:RRC
BBG000FVQ185,NASDAQ:SPWR
BBG000FSMWC3,NYSE:WSM
BBG000FRNTH6,NASDAQ:ISBC
BBG000FQRVM3,NYSE:WAT
BBG000FQ7YR4,NYSE:LYV
BBG000FQ6PY6,NASDAQ:CTXS
BBG000FLZN98,NYSE:MHK
